placa;id_aluguel;aluguel;devolucao;valor;observacao;cpf
DEA-7981;1;17/03/2022;24/03/2022;560;OK;211.983.664-78
CBC-4945;2;02/04/2022;10/04/2022;960;OK;258.537.606-02
BEE-7735;3;18/04/2022;25/04/2022;770;OK;726.222.683-51
CBA-4403;4;04/05/2022;14/05/2022;1000;OK;226.213.963-64
BBC-8504;5;20/05/2022;27/05/2022;630;OK;661.025.829-50
BEB-5885;6;05/06/2022;14/06/2022;910;Retrovisor direito quebrado;609.983.828-76
EDB-2475;7;25/06/2022;30/06/2022;750;OK;487.140.614-81
CBC-4945;8;15/07/2022;22/07/2022;840;OK;609.983.828-76
EDB-2475;9;04/08/2022;08/08/2022;600;OK;211.983.664-78
DEA-7981;10;24/08/2022;30/08/2022;580;Sem estepe;211.983.664-78
CBA-4403;11;13/09/2022;20/09/2022;700;OK;487.140.614-81
BBC-8504;12;16/09/2022;24/09/2022;720;OK;258.537.606-02
BEE-7735;13;19/09/2022;24/09/2022;550;OK;228.160.778-02
BEB-5885;14;22/09/2022;27/09/2022;550;Bancos sujos;908.554.137-94
CBA-4403;15;25/09/2022;05/10/2022;1000;OK;609.983.828-76
BEE-7735;16;28/09/2022;05/10/2022;770;OK;735.003.345-12
BBC-8504;17;01/10/2022;05/10/2022;360;OK;211.983.664-78
CBC-4945;18;04/10/2022;13/10/2022;1180;V�mito de beb�;487.140.614-81
DEA-7981;19;07/10/2022;11/10/2022;320;OK;226.213.963-64
CBC-4945;20;16/10/2022;26/10/2022;1200;OK;487.140.614-81
EDB-2475;21;25/10/2022;30/10/2022;750;OK;908.554.137-94
CBA-4403;22;03/11/2022;13/11/2022;1000;OK;726.222.683-51
BEB-5885;23;12/11/2022;15/11/2022;270;OK;228.160.778-02
BBC-8504;24;21/11/2022;30/11/2022;810;OK;908.554.137-94
DEA-7981;25;30/11/2022;03/12/2022;240;OK;726.222.683-51
CBC-4945;26;09/12/2022;15/12/2022;720;OK;211.983.664-78
