cpf;Rua;Bairro;Cidade;UF
211.983.664-78;Av. 7 de setembro; Jardim Brasil; Nova Odessa; SP
258.537.606-02;Av. Brasil; Parque das Flores; Amparo; SP
726.222.683-51;Pra�a dos Trabalhadores; Jardim S�o Paulo; Nova Odessa; SP
226.213.963-64;Rua das Flores; Jardim S�o Paulo; Americana; SP
661.025.829-50;Rua das Flores; Parque das Flores; Campinas; SP
609.983.828-76;Rua do a��car; Parque das Flores; Nova Odessa; SP
487.140.614-81;Rua das Flores; Centro; Campinas; SP
228.160.778-02;Av. 7 de setembro; Jardim Brasil; Americana; SP
908.554.137-94;Av. Paulista; Parque das Flores; Nova Odessa; SP
735.003.345-12;Rua Valter Souza; Parque das Flores; Amparo; SP
